.1.3.6.1.2.1.1.1.0 Palo Alto Networks PA-5400f series firewall
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.25461.2.3.66
.1.3.6.1.4.1.25461.2.1.2.1.1.0 11.1.10-h25
.1.3.6.1.4.1.25461.2.1.2.1.8.0 5605-6132
.1.3.6.1.4.1.25461.2.1.2.1.9.0 9121-10135
.1.3.6.1.4.1.25461.2.1.2.1.10.0 20260622.20267
.1.3.6.1.4.1.25461.2.1.2.1.11.0 passive
.1.3.6.1.4.1.25461.2.1.2.1.12.0 active
.1.3.6.1.4.1.25461.2.1.2.1.13.0 active-passive
.1.3.6.1.4.1.25461.2.1.2.1.19.8.31.0 740373254
.1.3.6.1.4.1.25461.2.1.2.1.19.8.32.0 70750225
.1.3.6.1.4.1.25461.2.1.2.3.1.0 1
.1.3.6.1.4.1.25461.2.1.2.3.2.0 6999998
.1.3.6.1.4.1.25461.2.1.2.3.3.0 139581
.1.3.6.1.4.1.25461.2.1.2.3.4.0 48795
.1.3.6.1.4.1.25461.2.1.2.3.5.0 89657
.1.3.6.1.4.1.25461.2.1.2.3.6.0 0
.1.3.6.1.4.1.25461.2.1.2.4.1.0 Connected
.1.3.6.1.4.1.25461.2.1.2.4.2.0 Connected
.1.3.6.1.4.1.25461.2.1.2.4.3.0 3
.1.3.6.1.4.1.25461.2.1.2.5.1.1.0 0
.1.3.6.1.4.1.25461.2.1.2.5.1.2.0 22000
.1.3.6.1.4.1.25461.2.1.2.5.1.3.0 0
